Date,0:00-5:59AM,6:00-11:59AM,12:00-5:59PM,6:00-11:59PM
1,450,800,1200,1250
2,350,650,1150,1050
3,350,800,1100,900
4,300,800,1200,950
5,500,750,800,750
6,450,900,1000,1550
7,300,1100,1300,1600
8,500,650,1300,1250
9,500,1250,1450,1100
10,300,1100,1150,1000
11,300,650,1000,1100
12,350,850,1400,1350
13,400,950,950,1100
14,650,1150,1450,1300
15,350,1550,1300,850
16,450,950,1350,1350
17,400,900,750,900
18,350,800,850,850
19,250,800,1000,900
20,500,1150,1200,1200
21,450,800,1250,1550
22,600,1150,1300,1050
23,300,800,1750,1300
24,500,1250,1200,900
25,500,700,700,1100
26,350,900,1450,1050
27,500,900,1150,950
28,300,800,1550,1600
29,700,1300,1250,1100
30,500,1300,1350,1000
